Riding winner loser Conservative Liberal Independent Labour Socialist Nationalist Unknown
Westmorland Emmerson,Henry-Robert SIDDALL,Medley-Godfrey 0 4452 0 0 0 0 4388
Winnipeg Haggart,Alexander ASHDOWN,James-Henry 12754 8049 0 0 2325 0 0
Wright Devlin,Emmanuel-Berchmans COUSINEAU,Louis 2819 4003 0 0 0 0 0
Yale--Cariboo Burrell,Martin MACDONALD,Kenneth-Cattanach 3851 1962 0 0 246 0 0
Yamaska Mondou,Albéric-Archie Gladu,Joseph-Ernest-Oscar 1870 1777 0 0 0 0 0
Yarmouth Law,Bowman-Brown CROSBY,Knowles-Eugene 1215 2399 0 0 0 0 0
York Crocket,Oswald-Smith ATHERTON,Alfred-Bennison 4143 0 0 0 0 0 2474
York-Centre Wallace,Thomas-George DEWART,Herbert-Hartly 2838 2328 0 0 0 0 0
York-North Armstrong,John-Alexander-Macdonald ROBINETTE,Thomas-Cowper 2730 2671 0 0 0 0 0
York-South Maclean,William-Findlay HEYD,Louis-Franklin 0 0 7194 0 0 0 1901
Yukon Thompson,Alfred Congdon,Frederick-Tennyson 1285 829 0 0 0 0 0
