Riding winner loser Conservative Liberal Progressive United-Farmers-of-Alberta Labour Independent United-Farmers-of-Ontario Unknown
Skeena Stork,Alfred Peck,Cyrus-Wesley 3223 3261 0 0 0 0 0 0
Souris Steedsman,James WILLIS,Richard-Gardiner 3714 0 7380 0 0 0 0 0
Springfield Hoey,Robert-Alexander MOLLOY,Thomas-Boniface 2234 4382 5779 0 0 0 0 0
Stanstead Baldwin,Willis-Keith BALDWIN,Porter-Lloyd 3104 6877 0 0 0 0 0 0
Strathcona Warner,Daniel-Webster Douglas,James-McCrie 2925 0 7319 0 1078 0 0 0
Swift-Current Lewis,Arthur-John MACLACHLAN,William-P. 2158 4223 9848 0 0 0 0 0
Terrebonne Prévost,Jules-Édouard Fauteux,Guillaume-André 3636 8882 0 0 0 0 0 0
Timiskaming McDonald,Angus MCEACHREN,Donald 5130 5703 0 0 0 5797 0 197
Toronto-Centre Bristol,Edmund-James MCEACHREN,Norman-Charles 5985 5123 0 0 0 0 0 0
Toronto-East Ryckman,Edmond-Baird RAYFIELD,Walter-Leigh 5392 52 3984 0 1822 3680 0 0
Toronto-North Church,Thomas-Langton RENNIE,Robert 12412 8452 0 0 0 0 0 0
Toronto-South Sheard,Charles Murdock,James 4056 3475 0 0 0 0 0 0
Toronto-West Hocken,Horatio-Clarence HUNTER,Alfred-Taylour 5920 3913 0 0 1741 0 0 0
Trois-Rivières-et-Saint-Maurice Bureau,Jacques NORMAND,Louis-Philippe 6688 13995 0 0 0 0 0 0
Témiscouata Gauvreau,Charles-Arthur Pouliot,Jean-François 3336 5625 0 0 0 0 0 4833
Vancouver-Centre Stevens,Henry-Herbert GALE,Robert-Henry 10493 5538 39 0 0 1866 0 0
Vancouver-South Ladner,Leon-Johnson ODLUM,Victor-Wentworth 4893 4120 312 0 2827 810 0 0
Vaudreuil--Soulanges Boyer,Gustave-Benjamin PHARAND,Adrien 0 5366 293 0 0 2787 0 0
Victoria Lucas,William-Thomas CONNOLLY,Christopher-Fraser 907 1780 0 11402 0 0 0 0
Victoria Thurston,John-Jabez Stinson,Thomas-Hubert 7816 0 0 0 0 8019 0 0
